Tweet,Created_at,Sentiment,Sentiment_Category
"You have done nothing for climate change, again for as long as I've been alive. You've spent all 40 years trying to twiddle and nudge knows so you can have your hypervapitslist splurge, but also claim to be ""doing something""",2025-01-29 20:31:06+00:00,-0.016666667,Negative
@Texasbrn Newsflash: Texas is also affected by climate change. Who knew?,2025-01-29 20:31:03+00:00,0,Neutral
Senator Warren you are going to make a commitment that you will not draw water in pails from selling portraits and assure me also of a clean green environment supporting climate change.,2025-01-29 20:31:00+00:00,0.1388888888888889,Positive
"Sing for Soil, Dance for Soil, Ride for Soil, Rap for Soil - whatever your jam, this is the time to bring out your best and support the #SaveSoil movement and let everyone know that soil is a solution to climate change.

#SaveSoilFixClimateChange #SaveSoilSecureFuture @cpsavesoil https://t.co/PDMKjgI3Zo https://t.co/dPTtzTzLqj",2025-01-29 20:30:58+00:00,1,Positive
@ABC Mystery? It’s climate change.,2025-01-29 20:30:49+00:00,0,Neutral
"More climate change at work...

Los Angeles wildfires: Lawsuit alleges video shows what started Eaton Fire

https://t.co/DOiUzKAWsG",2025-01-29 20:30:35+00:00,0.5,Positive
The election of President Trump has extinguished climate change in the United States. This serious environmental problem is left only in Europe which is waiting for political changes.,2025-01-29 20:30:33+00:00,-0.083333333,Negative
@Southampton27 @Texasbrn 😂 maybe this will make you believers in climate change 😂,2025-01-29 20:30:29+00:00,0,Neutral
"@RT_com Meanwhile, back to Medicare for all and climate change… 😂😂😂",2025-01-29 20:30:12+00:00,0,Neutral
"@DLoesch the oil lobby is behind the climate change lobby (so green energy) and the pro oil policy
https://t.co/LSZsQKO7bf",2025-01-29 20:30:04+00:00,-0.3,Negative
@KTVU I have a hangnail. It’s climate change. There was fog and it caused the road to be slippery climate change. You people are the nuttiest bunch of people I’ve ever seen in my life. https://t.co/KD0l1JywkH,2025-01-29 20:46:46+00:00,0,Neutral
@Texasbrn Buildings in Texas aren't designed to withstand the elements. As Climate Change brings more moisture to the region it's going to bring more storms. This is the cost of that.,2025-01-29 20:46:46+00:00,0.5,Positive
@CTVNews Canada has self sabotaged themselves. Don’t try and muh trump or muh Russia or muh climate change this shit,2025-01-29 20:46:39+00:00,-0.2,Negative
@Dublinmarti @Angela587164701 You’re worried about climate change but you’re ridiculing a woman who thinks the government should invest in renewable energy sources? Make it make sense??,2025-01-29 20:46:28+00:00,0,Neutral
@FrTotleben92742 Why is the Vatican so concern with illegal immigration and climate change then saving souls. More money in trafficking humans and climate scam then saving souls. Shame on you,2025-01-29 20:46:19+00:00,0,Neutral
@Rothmus is it climate change or the odd British cuisine they have there?,2025-01-29 20:46:08+00:00,-0.083333333,Negative
"@reesetheone1 They don't believe in climate change, apparently is enough to them, to protect them from it. Welcome to FAFO, 2025 US Edition, kids.

Climate change leads to more fires, more floods, more severe storms. Fine if you wanna bury your head in the sand, but insurance companies won't.",2025-01-29 20:46:07+00:00,0.4527777777777777,Positive
"The 2024 @hrw's report on Afghanistan reveals grim findings.

23M need humanitarian aid as economic collapse, climate change &amp; rights violations worsen. Afghan women bear the brunt, facing extreme restrictions on movement, education &amp; expression.

🔗More: https://t.co/VtG973Uavb",2025-01-29 20:46:02+00:00,-0.308333333,Negative
"Sourcing a 5x for @fordnation….

Amazon is saying that much wool is detrimental to climate change 😝",2025-01-29 20:45:57+00:00,0.2,Positive
@Texasbrn Tell her to paint her roof blue ASAP so the “climate change “ doesn’t burn her house down,2025-01-29 20:45:48+00:00,-0.077777778,Negative
"Labor Government Shocked To Discover Imported Extremism – Blames Climate Change

SYDNEY – In yet another totally unexpected development, authorities have uncovered a caravan packed with explosives, allegedly intended for an antisemitic attack. Naturally, the Labor government and… https://t.co/9gJ1mSotKO https://t.co/iamvVgknEN https://t.co/dMm6Yv2UAv",2025-01-29 21:01:49+00:00,-0.15,Negative
